customer_id,age,gender,tenure,contract_type,monthly_charges,total_charges,calls_to_support,is_tuesday_signup,churn
1000,19,Female,33,0,72.68,2397.97,3,0,0
1001,53,Female,10,1,70.39,709.14,1,0,0
1002,75,Male,10,2,48.43,482.29,1,0,0
1003,58,Female,54,2,63.22,3416.98,0,0,0
1004,27,Male,15,1,49.78,735.26,0,0,0
1005,58,Male,46,0,44.38,2037.94,0,0,0
1006,36,Male,51,1,68.99,3515.08,0,0,0
1007,22,Male,3,2,57.27,172.56,1,0,0
1008,23,Male,28,1,38.99,1084.37,1,0,0
1009,70,Female,68,0,60.27,4099.2,0,0,0
1010,19,Male,38,2,50.65,1920.03,3,1,0
1011,41,Male,26,0,39.06,1004.7,0,0,0
1012,53,Female,65,1,83.14,5405.96,1,0,0
1013,73,Female,23,0,60.05,1372.01,2,0,1
1014,67,Female,69,0,49.93,3433.83,0,0,0
1015,19,Female,19,1,41.55,792.64,1,1,0
1016,66,Male,14,0,40.26,551.57,0,0,0
1017,47,Male,54,2,70.89,3833.34,2,0,0
1018,77,Female,26,0,40.1,1048.91,1,0,0
1019,56,Male,32,2,46.03,1468.19,0,0,0
1020,61,Male,61,1,45.99,2810.0,1,1,0
1021,70,Female,12,0,40.03,476.55,3,0,1
1022,41,Female,3,2,47.68,143.96,2,0,0
1023,20,Male,34,2,59.42,2017.13,4,0,0
1024,18,Female,2,1,71.73,137.88,1,0,0
1025,30,Male,10,0,70.98,710.92,0,0,1
1026,58,Female,53,0,43.9,2330.7,2,0,0
1027,26,Female,41,2,47.34,1948.41,2,0,0
1028,38,Male,4,1,36.91,145.52,2,1,1
1029,75,Male,22,0,51.8,1134.64,2,0,1
1030,77,Female,55,0,32.26,1770.71,0,1,0
1031,57,Male,45,0,28.33,1266.7,0,0,0
1032,33,Female,31,0,68.07,2113.59,2,0,0
1033,76,Female,64,0,69.65,4464.31,2,0,0
1034,65,Male,33,0,49.49,1635.59,2,1,1
1035,45,Female,18,1,31.63,573.24,1,0,0
1036,55,Female,14,0,89.96,1256.31,2,0,1
1037,64,Male,54,0,32.98,1777.84,1,1,0
1038,54,Female,3,0,68.05,205.35,1,0,1
1039,62,Male,33,0,91.07,2996.08,1,0,0
1040,75,Female,64,0,53.67,3428.29,2,1,0
1041,35,Male,5,0,92.26,459.68,2,0,1
1042,27,Female,33,1,28.49,941.77,2,1,0
1043,50,Male,63,1,42.43,2675.64,2,0,0
1044,39,Female,45,1,90.12,4059.15,1,0,0
1045,65,Male,36,0,47.6,1713.26,0,0,0
1046,59,Male,56,0,70.08,3922.41,3,1,1
1047,53,Male,8,2,91.75,732.59,4,1,1
1048,37,Male,18,2,92.01,1647.8,3,0,0
1049,40,Male,70,0,59.49,4159.44,1,0,0
1050,44,Female,15,0,31.06,461.86,3,0,1
1051,68,Female,45,1,52.89,2376.81,3,1,1
1052,77,Female,57,0,88.0,5023.44,1,0,0
1053,23,Male,59,0,93.31,5509.0,4,0,0
1054,30,Male,11,0,60.5,667.14,1,0,0
1055,50,Female,55,0,29.04,1599.54,1,0,0
1056,78,Male,33,0,87.99,2904.47,0,0,0
1057,71,Female,13,0,71.57,930.82,0,0,0
1058,45,Male,45,0,59.6,2680.94,1,0,0
1059,19,Female,18,0,78.79,1416.33,0,0,0
1060,62,Female,25,0,67.32,1685.63,1,0,0
1061,29,Male,50,1,93.1,4656.2,0,1,0
1062,68,Female,19,0,28.57,536.61,1,0,0
1063,29,Female,31,2,50.63,1567.28,0,0,0
1064,47,Female,14,0,71.97,1011.22,2,0,0
1065,49,Male,59,2,36.95,2172.48,2,0,0
1066,67,Male,11,0,61.66,677.7,3,0,1
1067,59,Male,18,1,50.8,920.2,0,1,0
1068,77,Female,37,1,79.18,2929.09,1,1,1
1069,51,Male,8,0,70.38,565.65,1,0,0
1070,30,Female,10,2,52.91,536.8,1,0,0
1071,31,Female,48,2,59.39,2855.91,2,0,0
1072,30,Male,57,2,42.39,2420.9,1,0,0
1073,53,Male,29,0,60.83,1763.98,0,0,0
1074,42,Male,16,0,59.94,950.03,2,0,0
1075,58,Female,25,0,46.73,1176.32,1,0,0
1076,27,Female,65,0,88.91,5786.32,1,0,0
1077,68,Female,38,1,30.66,1166.44,2,0,0
1078,75,Female,42,0,68.72,2890.28,2,0,0
1079,58,Male,63,0,51.27,3224.89,1,0,0
1080,29,Male,64,1,72.99,4670.56,2,0,0
1081,18,Male,67,0,90.55,6072.02,2,1,0
1082,41,Female,67,0,58.73,3931.88,1,0,0
1083,79,Female,31,0,26.62,825.05,2,0,0
1084,29,Female,13,1,89.8,1153.54,2,0,0
1085,53,Male,66,0,70.66,4670.37,2,0,0
1086,68,Female,14,2,58.91,824.72,1,0,0
1087,66,Female,22,0,71.76,1578.16,2,0,0
1088,56,Female,71,1,71.03,5042.53,0,0,0
1089,79,Male,32,1,41.11,1309.63,2,1,0
1090,66,Male,56,0,89.8,5032.95,0,0,0
1091,20,Female,19,0,38.14,729.01,1,0,0
1092,77,Female,59,1,37.1,2187.48,1,0,0
1093,60,Female,5,0,69.99,354.48,2,0,1
1094,37,Male,11,1,29.51,338.87,4,1,1
1095,36,Male,61,1,60.8,3704.07,1,0,0
1096,78,Female,40,0,49.26,1979.62,1,0,0
1097,58,Female,51,0,81.65,4164.05,2,0,0
1098,45,Female,61,0,48.28,2943.42,0,0,0
1099,76,Female,59,2,47.65,2809.08,1,0,0
1100,53,Male,63,2,53.05,3339.08,1,0,0
1101,63,Female,63,0,28.82,1812.65,0,0,0
1102,71,Female,34,0,38.38,1308.8,2,0,0
1103,47,Male,2,1,50.42,95.74,0,0,0
1104,39,Female,68,0,64.76,4411.02,1,0,0
1105,59,Male,63,0,41.52,2611.36,2,0,0
1106,62,Male,25,0,48.32,1215.41,0,0,0
1107,54,Male,32,2,78.17,2498.5,1,1,0
1108,51,Male,7,1,30.52,215.74,2,0,0
1109,63,Female,21,1,46.0,969.54,1,0,0
1110,47,Female,17,1,84.74,1432.45,3,0,0
1111,49,Female,3,1,47.78,152.89,2,0,1
1112,29,Female,46,2,37.94,1742.87,0,0,0
1113,48,Female,15,1,70.06,1051.08,1,1,1
1114,29,Female,28,0,88.01,2462.5,3,0,1
1115,62,Female,62,0,71.02,4402.9,4,0,0
1116,54,Female,55,1,70.08,3847.54,0,0,0
1117,59,Male,20,2,68.56,1359.42,1,0,0
1118,41,Male,18,2,75.89,1362.98,1,0,0
1119,72,Male,35,0,70.27,2461.02,1,0,0
1120,48,Female,11,2,79.44,868.19,2,1,1
1121,77,Male,63,1,49.78,3134.21,0,0,0
1122,45,Female,26,0,51.37,1347.34,2,0,0
1123,55,Male,23,0,42.08,964.9,4,1,1
1124,41,Female,5,2,86.85,433.61,3,0,0
1125,60,Male,62,1,56.05,3479.25,3,0,0
1126,45,Male,28,1,59.33,1663.98,1,0,0
1127,55,Female,9,0,30.02,277.93,1,0,0
1128,50,Male,66,0,42.49,2799.83,0,0,0
1129,21,Male,53,0,50.65,2687.76,2,0,0
1130,25,Female,5,2,67.78,342.43,1,0,0
1131,46,Male,38,1,70.18,2662.97,2,0,0
1132,63,Female,63,1,68.23,4304.19,1,1,0
1133,77,Male,17,2,90.22,1540.93,2,0,0
1134,59,Male,18,0,87.18,1569.03,4,0,1
1135,23,Female,32,1,80.1,2559.6,2,0,0
1136,63,Male,39,1,90.57,3532.82,2,0,0
1137,57,Female,55,0,59.68,3291.42,1,0,0
1138,73,Female,23,2,59.07,1354.92,0,0,0
1139,74,Female,60,1,80.98,4853.43,3,0,0
1140,74,Male,23,0,91.24,2102.89,0,0,0
1141,66,Male,66,0,70.6,4661.06,2,0,0
1142,32,Male,46,0,61.5,2820.57,3,0,0
1143,52,Male,63,1,38.36,2421.67,1,0,0
1144,53,Male,7,0,62.47,435.31,0,0,1
1145,70,Male,69,0,59.8,4130.57,2,1,0
1146,50,Female,56,1,92.29,5167.89,3,0,0
1147,58,Female,32,0,70.51,2265.81,3,0,0
1148,45,Female,16,0,86.91,1390.32,3,0,1
1149,18,Female,3,2,27.52,84.01,0,0,0
1150,32,Male,58,2,60.82,3523.75,0,1,0
1151,59,Male,13,1,69.26,896.71,3,1,0
1152,76,Male,70,2,57.51,4032.57,3,0,0
1153,50,Female,30,0,79.27,2366.25,0,0,0
