article_id,date,category,author,title,content,viral
82110,2016-08-09,talk.politics.mideast,Author_23,I always like your kind of odds. The Greek governments must be,"I always like your kind of odds. The Greek governments must be held to account for the sub-human conditions of the Turkish minority living in the Western Thrace under the brutal Greek domination. The religious persecution, cultural oppression and economical ex-communication applied to the Turkish population in that area are the dimensions of the human rights abuse widespread in Greece. ""Greece's Housing Policies Worry Western Thrace Turks"" ...Newly built houses belonging to members of the minority community in Dedeagac province, had, he said, been destroyed by Evros province public works department on Dec. 4. Sungar added that they had received...",0
17852,2015-03-16,talk.politics.mideast,Author_11,What a lie..!!?? Ask the victims of the Nazis. Don't take the,"What a lie..!!?? Ask the victims of the Nazis. Don't take the Bosnian muslims' word for it. Ask the Holoucost survivors who helped them, you will hear that the Bosnian muslims (among others) helped them. I also do object to the term ethnic cleansing, since what is happening in Bosnia is not ethnic cleansing, they all have the same ethnicity, what is different is religion. they are Orthodox christians, Catholic christians, and Muslims. It's religious cleansing. Also watching people being rounded up and slaughtered by the slitting of the throat, raped collectively and systematically, driven out of their homes by...",0
42541,2016-03-04,rec.autos,Author_11,That will make it easy for a car thief. Saves him/her the,That will make it easy for a car thief. Saves him/her the trouble of popping your ignition!...,1
59441,2016-07-10,rec.autos,Author_30,"Archive-name: rec-autos/part1 [most recent changes, 15 March 1993: addition of alt.autos.karting --","Archive-name: rec-autos/part1 [most recent changes, 15 March 1993: addition of alt.autos.karting -- rpw] === Welcome to Rec.Autos.* === This article is sent out automatically each month, and contains a general description of the purpose of each of the automotive newsgroups, and some suggested guidelines for discussions. The keywords `Monthly Posting' will always appear to make killing this article easy for users of newsreaders with kill facilities. This article is posted to all autos groups, but followups are directed only to rec.autos. If you don't understand what this means, ask your system administrator for help, or at least for copies of...",1
45325,2016-11-19,talk.politics.mideast,Author_37,"Hey tough guy, freedom necessitates responsibility, and no freedom is absolute. BTW,","Hey tough guy, freedom necessitates responsibility, and no freedom is absolute. BTW, to anyone who defends Arafat, read on: ""Open fire on the new Jewish immigrants, be they from the Soviet Union, Ethiopia or anywhere else....I give you my instructions to use violence against the immigrants. I willjail anyone who refuses to do this."" Yassir Arafat, Al-Muharar, 4/10/90 At least he's not racist! Just anti-Jewish...",0
24993,2016-11-16,rec.autos,Author_37,I am curious about knowing which commericial cars today have v engines.,"I am curious about knowing which commericial cars today have v engines. V4 - I don't know of any. V6 - Legend, MR3? MR6? VW Golf/Passat 2.8l VR6 (inline V6!), very narrow angle (11 deg?), one head. Audi 80/100 2.6/2.8l V6 V8 - Don't know of any. Audi V8 3.6/4.2l Some MBs Some BMWs V12 - Jaguar XJS BMW 750/850 MB *600* Please add to the list. Thanks, -S ssave@ole.cdac.com...",1
35825,2016-11-17,talk.politics.mideast,Author_24,"A typical Armenian revisionist. As in the past in x-Soviet Armenia, and","A typical Armenian revisionist. As in the past in x-Soviet Armenia, and today in Azerbaijan, for utopic and idiotic causes the Armenians brought havoc to their neighbors. A short-sighted and misplaced nationalistic fervor with a wrong agenda and anachronistic methods the Armenians continue to become pernicious for the region. As usual, they will be treated accordingly by their neighbors. Nagorno-Karabag is a mountainous enclave that lies completely within Azerbaijan with no border or history whatsoever connected to x-Soviet Armenia. Besides the geographical aspect, Nagorno-Karabag is the historic homeland and the 'cradle' of the artistic and literary heritage of Azerbaijan, which...",0
89817,2016-08-08,rec.autos,Author_31,this week's autoweek talks about how wagons are getting back in vogue.,this week's autoweek talks about how wagons are getting back in vogue. i wouldn't mind an audi s4 wagon (great stealth value) but you'll never catch me dead in a minivan!...,1
76444,2015-02-21,rec.autos,Author_15,"assuming yours is a non turbo MR2, the gruffness is characteristic of","assuming yours is a non turbo MR2, the gruffness is characteristic of a large inline 4 that doesn't have balance shafts. i guess toyota didn't care about ""little"" details like that when they can brag about the mid engine configuration and the flashy styling. myself, i automatically cross out any car from consideration (or recommendation) which has an inline 4 larger than 2 liters and no balance shafts.. it is a good rule of thumb to keep in mind if you ever want a halfway decent engine. if the noise really bugs you, there is nothing else that you can...",1
64819,2016-02-02,rec.autos,Author_39,That shows how much you know about anything. The brakes on the,"That shows how much you know about anything. The brakes on the SHO are very different - 9 inch (or 9.5? I forget) discs all around, vented in front. The normal Taurus setup is (smaller) discs front, drums rear. Your argument still boils down to ""An SHO shouldn't be driven fast because I, Jim Frost, say it isn't designed to go fast."" Pffffftttttt. Damn straight. You're one of those people who makes stuff up and tries to pawn it off as God's own truth. If I want lies I can go listen to television....",1
